Rooms,Area,District,Price,Address,Details
4,178.6,Есильский р-н,90000000,"мкр Комсомольский, Умай Ана 8","жил. комплекс Comfort House, кирпичный дом, 2015 г.п., потолки 3м., ⚜️ЖК Comfort House ⚜️Клубный дом ⚜️4 комнатная ⚜️Площадь 178.6 ⚜️Этаж 2 из 6 ⚜️Год постройки 2015 ⚜️Потолки 3 метра ⚜️Улица Умай ана 8 ⚜️Черновая 💰 Цена: тенге Рядом Школа QSI . Специалист по недвижимости Гулнур"
3,85.0,Есильский р-н,67500000,Мәңгілік Ел 42а,"В залоге, жил. комплекс Aq-Tay, кирпичный дом, 2021 г.п., состояние: свежий ремонт, потолки 3.1м., санузел раздельный, меблирована полностью, Астана📍 Предлагаю вашему вниманию стильную 3-комнатную квартиру в ЖК Aq-Tau, выполненную в концепции минимализма. Здесь каждая деталь продумана до мелоч…"
2,54.91,Сарыарка р-н,18120300,Бейбарыс Султан б/н,"жил. комплекс Rio de Janeiro, кирпичный дом, 2025 г.п., состояние: черновая отделка, потолки 2.7м., санузел совмещенный, Полностью кирпичный дом, с очень дорогой отделкой. Срок сдачи дома 3 квартал 2025 г. Ипотеки нет - Шикарное озеленение, большая детская площадка, закрытая дворовая территория…"
2,68.0,Есильский р-н,41900000,Әнет баба 9/1,"жил. комплекс ONER, монолитный дом, 2022 г.п., состояние: свежий ремонт, потолки 3м., санузел совмещенный, телефон: есть возможность подключения, интернет проводной, меблирована частично, Вашему вниманию представляется уютная 2-комнатная квартира! ✨ Квартира мечты, в которую вы влюбитесь с перво…"
2,42.1,Сарыарка р-н,21000000,Чингиз Айтматов 77/10,"жил. комплекс Qaiyndy, кирпичный дом, 2025 г.п., потолки 3м., 🔥Горящая предложение 🏠Продаётся однокомнатная квартира в доме комфорт-класса. 🏗️ Застройщик SvoyDom 🏠Кирпичный теплый дом ⭐️Документы на руках. ⭐️Ипотека рассматривается Рядом школа 106, 67, 65, 80 Тренажерный зал Winox Закрытый дв…"
3,83.0,Есильский р-н,90000000,Сарайшык 34/5 — Топ локация,"жил. комплекс Dara Residence, монолитный дом, 2024 г.п., потолки 3м., Dara Residence – это новый концептуальный центр притяжения для жителей столицы. Завораживающие 2- и 22-этажные и слаженные 14-этажные блоки создают привлекательный квартал современной архитектуры. Жилой комплекс Dara Reside…"
1,39.13,Есильский р-н,23500000,Хусейн Бен Талал 3 — 37,"жил. комплекс MoD.Comfort, монолитный дом, 2025 г.п., потолки 2.73м., 💥1-комнатная квартира в ЖК MoD.Comfort (третяя очередь) в предчистовой отделке (проводка уже проведена). Дом комфорт класса от надежного застройщика BI GROUP. 💥Высота потолков - 2, 75м 💥Все коммуникации центральные. 💥Топо…"
1,44.8,Алматы р-н,20000000,Кошкарбаева 46 — Жумабаева,"жил. комплекс Турсын Астана – 2, монолитный дом, 2011 г.п., состояние: не новый, но аккуратный ремонт, потолки 2.7м., санузел раздельный, интернет ADSL, меблирована полностью, 🔥Уютная 1-комнатная полноценная квартира в ЖК Турсын-Астана 2, не угловая, площадью 44, 8 кв. м. ✅️Высота потолков 2.7 метр…"
3,78.0,Есильский р-н,90000000,Кабанбай батыра,"жил. комплекс Клубный Дом 56, кирпичный дом, 2021 г.п., потолки 3м., В продаже трехкомнатная квартира - студия в ЖК Клубный дом 56 от самого надежного застройщика BI Group! - Квартира с хорошим ремонтом; - Полностью меблирована; - Большая гардеробная комната; - На этаже 3 квартиры; - Закрыт…"
1,50.0,Сарыарка р-н,21500000,Сарыарка 31/2 — Джангельдина,"жил. комплекс Запад по ул. Сарыарка, кирпичный дом, 2010 г.п., состояние: не новый, но аккуратный ремонт, потолки 2.8м., санузел совмещенный, меблирована полностью, Просторная однокомнатная квартира, рядом школа 60, государственные детские сады, магазины и супермаркеты в шаговой доступности. Имеетс…"
3,55.7,Нура р-н,36000000,Култегин 4 — Култегин,"жил. комплекс Green Town, кирпичный дом, 2024 г.п., состояние: свежий ремонт, потолки 3м., санузел совмещенный, телефон: есть возможность подключения, интернет оптика, меблирована частично, Кирпичный дом Комфорт + Дизайнерские холлы 4 квартиры на площадке Потолки 3 метра Увеличенные окна Райо…"
2,60.0,Есильский р-н,35000000,Кайыма Мухамедханова 21,"жил. комплекс Кристалл, монолитный дом, 2019 г.п., состояние: свежий ремонт, потолки 3м., санузел совмещенный, телефон: есть возможность подключения, интернет оптика, меблирована полностью, Продается квартира в районе Хан Шатыра, рядом КазГюа, школа лицей 79"
3,122.0,Алматы р-н,39990000,Мукан Тулебаев 5,"2021 г.п., состояние: свежий ремонт, потолки 2.7м., санузел 2 с/у и более, меблирована полностью, Витражные окна, полностью меблирована • 3-х комнатная студия, 122 м2 • В новом доме, ЖК Арыстан. • Новая сантехника, счётчики, мебель, неугловая, встроенная кухня, пластиковые окна, пол качественный л…"
2,35.0,Алматы р-н,14200000,"капал 1/1 — 1 городская больница, Кошкарбаева","кирпичный дом, 2015 г.п., потолки 2.7м., меблирована полностью, Продается евро двушка , документы в порядке можно в ипотеку. Вся мебель техника остается. Все вопросы по телефону"
3,92.0,Есильский р-н,75500000,Аль-Фараби 7/3,"жил. комплекс Zhana Bastau, кирпичный дом, 2024 г.п., потолки 3м., санузел 2 с/у и более, интернет проводной, меблирована полностью, ❗️Вид на парк! Строительство Сфера Парка уже началось ! ❗️В малоэтажном Блоке ! ❗️Распашонка!"
2,40.0,Нура р-н,35700000,Кайым Мухамедханова 5,"жил. комплекс GreenLine.Atmosfera, монолитный дом, 2024 г.п., состояние: свежий ремонт, потолки 3м., меблирована полностью, !БЕЗ ТОРГА! Продается квартира в самом дорогом квартале города за Хан Шатыром - BI GROUP Greenline! ЖК Greenline Atmosfera дом 2024 года постройки, является продолжением но…"
2,103.9,Алматы р-н,43000000,Сатпаева 20/2,"жил. комплекс Теремок, 2017 г.п., потолки 3м., санузел 2 с/у и более, меблирована полностью, Продаётся просторная 2-комнатная квартира в ЖК “ТЕРЕМОК”, г. Астана! Ищете идеальное сочетание уюта и комфорта? Тогда эта квартира для вас! Характеристики: • Общая площадь — 103, 9 м² • Два санузла, оди…"
1,36.2,Нура р-н,19900000,Айтматова 59,"жил. комплекс ONYX, кирпичный дом, 2023 г.п., состояние: свежий ремонт, потолки 3м., санузел совмещенный, меблирована полностью, 🏡 1-комнатная квартира в новом ЖК ONYX 📍Айтматова, первая линия Экологический чистый район Это идеальный вариант для комфортной жизни в одном из самых спокойных и зелёны…"
3,83.7,Алматы р-н,51000000,Калдаякова 23/1 — Нажмеденова,"жил. комплекс Bravo Family, монолитный дом, 2022 г.п., состояние: свежий ремонт, потолки 3м., санузел раздельный, телефон: есть возможность подключения, интернет проводной, меблирована полностью, #Продам 3х. Ком. Квартиру, ул. Калдаякова 23/1, ЖК «BRAVO FAMILY » Алматинский район, очень удобная лок…"
2,59.0,Нура р-н,28000000,Е-15 3,"жил. комплекс Меркурий 2, монолитный дом, 2017 г.п., потолки 2.7м., санузел раздельный, телефон: есть возможность подключения, интернет оптика, меблирована полностью, Продается полноценная 2 комнатная квартира ✅Первый хозяин, квартира никогда не сдавалось. ✅Квартира неугловая, очень теплая в люб…"
1,40.4,Есильский р-н,17800000,Туран 89/3,"жил. комплекс Cosmic City, монолитный дом, 2021 г.п., состояние: черновая отделка, потолки 2.75м., Продаётся 1-Комнатная квартира ✅ ЖК Cosmic city ✅ Застройщик King Development ✅ Закрытый, безопасный двор ✅ Электронные замки и видеонаблюдения ✅ Инфраструктура : Космический центр, Назарбаев Ун…"
4,128.0,Есильский р-н,75000000,Кайыма Мухамедханова 21 — Пересечение угол улицы Айтеке би,"В залоге, жил. комплекс Кристалл, монолитный дом, 2019 г.п., состояние: свежий ремонт, потолки 3м., санузел 2 с/у и более, интернет ADSL, меблирована полностью, ✅ ПРОДАЕТСЯ 4 комнатная квартира 🏢 ЖК Кристалл ✅ Застройщик SADI Group ✅ Комфорт плюс класс 🚩 Бытовая техника новая 🔥 Сантехника дорог…"
3,67.0,Сарыарка р-н,29000000,Сокпакбаева — Косшыгулулы,"кирпичный дом, 2012 г.п., состояние: свежий ремонт, потолки 2.7м., санузел раздельный, телефон: есть возможность подключения, интернет проводной, меблирована частично, Продам 3-комнатную квартиру, кирпичный дом, светлая квартира, свежий ремонт, комнаты изолированы, санузел раздельный, шумоизоля…"
1,40.9,Сарайшык р-н,19000000,Кордай 99,"В залоге, жил. комплекс Бадана, кирпичный дом, 2023 г.п., состояние: не новый, но аккуратный ремонт, потолки 2.7м., санузел совмещенный, телефон: есть возможность подключения, интернет оптика, меблирована полностью, 💥Продается 1 комнатная квартира ЖК Бадана в районе Сарайшык. 💥 Застройщик ""BM Stro…"
2,73.6,р-н Байконур,32000000,Иманбаева 9 9 — Кенесары/республика,"жил. комплекс 7 Континент, монолитный дом, 2009 г.п., потолки 3м., меблирована полностью, 🎯 ТОПОВАЯ 2-КОМНАТНАЯ КВАРТИРА В ЗОЛОТОМ КВАДРАТЕ АСТАНЫ! 🔥 🏙 Бизнес-класс | Потолки 3 м | Дизайн ремонт | Срочная продажа Мечтаете о стильной квартире, в самом центре Астаны? Этот вариант — для тех, к…"
2,47.0,Есильский р-н,37700000,"Туран 52/2, 52/3","жил. комплекс BUQAR JYRAU EXCLUSIVE 2, монолитный дом, 2025 г.п., потолки 3м"
3,95.0,Алматы р-н,64000000,Тыныбаева 12,"В залоге, жил. комплекс Austria, монолитный дом, 2019 г.п., потолки 3м., санузел совмещенный, меблирована полностью"
3,81.4,Сарайшык р-н,30500000,Кенен Азербаева 6/1,"В залоге, кирпичный дом, 2017 г.п., потолки 2.7м., санузел 2 с/у и более, интернет оптика, меблирована частично, Хороший ремонт. Два санузла, две душевые. Установлена охранная сигнализация. На каждом этаже камеры. Домофон. Уютная, очень теплая, на батареях установлены краны, зимой половину…"
3,67.0,Алматы р-н,42500000,Шамши Калдаяков 25А,"жил. комплекс DOMBYRA, кирпичный дом, 2024 г.п., потолки 3м., санузел совмещенный, телефон: есть возможность подключения, интернет проводной, меблирована полностью, Распашонка ❗️ Дом с паркингом! Полностью вся мебель и техника ❗️ Всё новое, никто не проживал!"
1,60.0,Есильский р-н,34000000,Мангилик Ел 17,"жил. комплекс Коркем, монолитный дом, 2013 г.п., потолки 2.85м., санузел совмещенный, меблирована полностью, Риэлторов прошу не беспокоить. Договор не предлагать. Не подписываю. Продам шикарную квартиру с террасой (терраса 35 кв м) в ЖК Коркем. Вдохновляющие виды с окон и террасы на левый бе…"
1,42.9,Сарыарка р-н,18400000,Улытау 44 — Школа 105,"жил. комплекс Tulpar City, кирпичный дом, 2022 г.п., потолки 2.7м., санузел совмещенный, телефон: нет, меблирована частично, ❤️‍🔥Кладовка в подарок ( расположена на площадке рядом с квартирой) ❤️‍🔥 🔹Современный ЖК Tulpar City в Астане расположился на правом берегу столицы (Сарыаркинский район)…"
1,40.4,Есильский р-н,27000000,"мкр Комсомольский, Анет баба 7/2","В залоге, жил. комплекс Qyran, 2022 г.п., состояние: не новый, но аккуратный ремонт, потолки 3м., санузел совмещенный, телефон: нет, интернет через TV кабель, меблирована полностью, Продается просторная, уютная польноценное 1-комнатная квартира Жилой комплекс “Кыран”. Развитая инфраструктура, удоб…"
2,63.0,Алматы р-н,34000000,А91,"жил. комплекс Saratan, монолитный дом, 2023 г.п., потолки 2.7м., меблирована полностью, Продается квартира в ЖК Saratan ✅ Мебель и техника: Вся мебель и бытовая техника остаются – заходи и живи! ✅ Документы: Все в порядке, подходит под ипотеку. 📍 О ЖК Saratan: • Расположение: г. Астана, район Ал…"
4,116.3,Есильский р-н,99900000,Алихан Бокейхан 16/2,"жил. комплекс Asylym Park 1, монолитный дом, 2024 г.п., потолки 3м., санузел 2 с/у и более, меблирована полностью, • ЖК Asylym Park 1 • ⁠Бизнес класс • ⁠4 комнат полноценная • ⁠Площадь 116.3 кв. м • ⁠Этаж 9 из 9+техэтаж • ⁠Год постройки 2024 • ⁠Монолитное строение • Двор закрытый • Паркинг в доме •…"
4,126.0,Есильский р-н,51000000,Чингиза Айтматова 36,"жил. комплекс Жагалау 3, кирпичный дом, 2016 г.п., потолки 2.7м., санузел 2 с/у и более, телефон: отдельный, интернет ADSL, меблирована полностью, Срочно продам 4х комнатную квартиру с евро ремонтом! Мастер спальня со своим санузел и душевой! Вся мебель и техника новая! Квартира очень светла…"
2,52.0,Алматы р-н,23000000,Рыскулбекова — Құдайбердіұлы,"жил. комплекс Саламат, монолитный дом, 2015 г.п., потолки 2.8м., санузел совмещенный, телефон: нет, интернет ADSL, меблирована полностью, 🏡 ЖК Саламат, расположен на правом берегу, в спальном р-не по ул. Рыскулбекова. Застройщик BI Group ✅ Преимущества : в доме имеется наземный паркинг, е…"
2,63.0,Есильский р-н,35500000,Бухар жырау 32 — Пересечение бокейхана,"жил. комплекс Триумф Есиль, кирпичный дом, 2024 г.п., состояние: свежий ремонт, потолки 2.7м., санузел совмещенный, интернет оптика, меблирована полностью, ЖК Triumph City Застройщик :Елорда Курылыс Компаниясы Класс жилья: Комфорт Монолит+кирпич 2ух комнатная Площадь 63 мКв Этаж 5 из 12 Потолки 2…"
3,79.8,Нура р-н,67000000,Кайым Мухамедханова 6Б,"жил. комплекс GreenLine.Atmosfera, монолитный дом, 2024 г.п., потолки 3м., санузел 2 с/у и более, Продается красивая евро-3-комнатная квартира с террасой в ЖК GREEN LINE ATMOSFERA район Нура 📍 Адрес: ул. К. Мухамедханова, район Нура 🏢 Жилой комплекс комфорт+ класса с закрытой территорие…"
2,44.0,Сарыарка р-н,23500000,Шаймерден Косшыгулулы — Баней Сарыарка,"жил. комплекс Кокшебель, монолитный дом, 2024 г.п., Евродвушка! Дом комфорт класса. Новый дом. Свежий ремонт ! Качественная сантехника, тёплый пол в санузле. Инстоляция, тропический душ. Обставленна полностью! За баней Сарыарка, напротив 10 поликлиника. вокруг гос. школы и садики. Развитый ра…"
3,77.0,Есильский р-н,38000000,Сауран 14 — Угол Жанибек и Керей хандар,"жил. комплекс Градокомплекс-4, монолитный дом, 2011 г.п., состояние: не новый, но аккуратный ремонт, потолки 2.75м., санузел совмещенный, телефон: есть возможность подключения, интернет проводной, меблирована частично, Прод просторная 3-комнатная квартира в центре! Ипотеку рассматриваем или обме…"
1,39.0,Есильский р-н,28000000,Туркестан 4Б,"жил. комплекс Assyl Tau, монолитный дом, 2021 г.п., потолки 2.7м., меблирована полностью, Предлагаем вам уникальную возможность приобрести просторную однокомнатную квартиру в современном жилом комплексе ""Assyl Tau"", расположенном в центре города. Благодаря отличной транспортной развязке, вы ле…"
3,60.0,р-н Байконур,26000000,Ташенова — Пер.Ташенова.,"кирпичный дом, 1993 г.п., потолки 2.7м., санузел совмещенный, телефон: нет, интернет оптика, меблирована полностью, 🔥Доброго времени суток. ⚡️В продаже 3х комнатная изолированная квартира в трёх минутах ходьбы от парка Ататюрк, набережной реки Ишим. ⚡️Золотой квадрат столицы. ⚡️Шикарная квартир…"
2,40.0,Сарыарка р-н,18800000,Караменде би Шакаулы 13 — Земляничная,"жил. комплекс Novopolis, кирпичный дом, 2025 г.п., состояние: свежий ремонт, потолки 2.7м., санузел совмещенный, без мебели, 🏛ЖК NOVOPOLIS от застройщика Dezi Group 📽Видео по запросу. ✔Евроремонтом, никто не проживал, кухня-студия. ✔полноценная 1 (евро 2) комнатная квартира на 8-м этаже из 10…"
3,57.2,р-н Байконур,24000000,Брусиловского 5 — Иманова,"жил. комплекс Жастар-3, кирпичный дом, 2011 г.п., состояние: свежий ремонт, потолки 3м., санузел совмещенный, интернет через TV кабель, меблирована полностью, 🔥 Продам 3-комнатную квартиру в ЖК «Жастар-3» – идеальный вариант для семейной жизни 🔥 📍 Астана, район Байконыр, ул. Брусиловского, 5 🏡 57…"
